Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.1166)   P(D|M,rr[2]=0.4444)   P(D|M,rr[3]=0.9812)   P(D|M,rr[4]=2.4579)   Posterior mean        P(D|M,rr[0]=0)  
1      2.21823e-10     6.84081e-10           3.21333e-10           5.95989e-12           1.15513e-17           0.257392              0               
2      1.06061e-61     4.47721e-85           6.28609e-70           2.38978e-63           4.8118e-61            2.79325               0               
3      1.11752e-37     5.07949e-44           3.40282e-38           4.75408e-37           8.49754e-41           1.07782               0               
4      3.43213e-41     2.29887e-55           8.28723e-44           1.56384e-40           1.63786e-44           1.11825               0               
5      3.92269e-19     4.0695e-21            1.65267e-18           1.31765e-19           9.10924e-27           0.550784              0               
6      6.62905e-60     8.70817e-83           1.59918e-67           3.93475e-61           2.98308e-59           2.77966               0               
7      6.06966e-31     1.52945e-36           5.54771e-31           2.2126e-30            1.30567e-35           0.995751              0               
8      3.39752e-49     2.67068e-63           7.48294e-52           1.54394e-48           4.37456e-51           1.12286               0               
9      1.59471e-55     6.58947e-83           6.54867e-66           2.57216e-58           7.26829e-55           2.80097               0               
10     7.59528e-64     9.84764e-97           1.95605e-78           1.55837e-69           3.46297e-63           2.80157               0               
11     2.13237e-30     5.65048e-35           5.67175e-30           4.05044e-30           8.00949e-37           0.761458              0               
12     1.13919e-07     4.83685e-07           3.56664e-08           4.64363e-11           5.79976e-19           0.1586                0               
13     9.90208e-36     3.53282e-43           1.15088e-36           4.39632e-35           3.31753e-38           1.10404               0               
14     5.50572e-33     1.09589e-37           1.37568e-32           1.13458e-32           1.27914e-39           0.783093              0               
15     5.59665e-16     1.47706e-16           2.33068e-15           7.33377e-17           3.59009e-23           0.502511              0               
16     9.06744e-30     1.09571e-33           3.04891e-29           1.08517e-29           9.43598e-37           0.667148              0               
17     1.77139e-45     9.42744e-59           1.25097e-48           7.09933e-45           9.75826e-46           1.32167               0               
18     2.48998e-08     1.00672e-07           1.28461e-08           9.02847e-12           3.76368e-21           0.175215              0               
19     3.48244e-26     2.1614e-29            1.089e-25             4.9856e-26            1.29142e-31           0.698626              0               
20     3.0749e-05      0.000139073           1.12271e-06           1.45574e-10           8.14546e-21           0.135843              0               
21     1.24707e-31     9.05845e-40           3.47226e-33           5.48555e-31           1.65594e-32           1.16368               0               
22     8.4926e-26      7.59834e-31           1.06048e-25           2.8116e-25            9.1593e-31            0.950831              0               
23     3.89442e-39     1.21856e-48           1.78563e-40           1.75744e-38           3.11127e-42           1.11254               0               
24     3.90455e-19     2.66074e-21           1.67489e-18           1.02678e-19           8.01638e-27           0.541288              0               
25     1.97509e-38     2.05238e-46           1.86809e-39           8.81632e-38           2.03705e-41           1.10609               0               
26     9.68387e-40     1.34327e-48           8.2076e-41            4.33293e-39           2.34264e-43           1.10711               0               
27     2.91393e-06     1.32798e-05           5.92771e-09           1.48186e-14           1.40496e-27           0.133016              0               
28     4.76428e-10     2.16238e-09           9.83537e-12           4.06274e-17           1.79488e-31           0.134542              0               
29     3.27878e-38     1.69343e-47           1.23606e-39           1.48146e-37           1.1001e-40            1.11458               0               
30     1.39816e-15     5.29042e-15           1.0842e-15            1.1293e-19            8.06795e-32           0.196427              0               
31     0.0107576       0.01647               0.000503519           1.7858e-06            5.16101e-13           0.0498509             0.057337        
32     0.0107576       0.01647               0.000503519           1.7858e-06            5.16101e-13           0.0498509             0.057337        
33     0.00307054      0.00149414            7.72645e-07           3.76801e-12           3.93578e-26           0.0142066             0.022355        
34     0.0152488       0.0140353             6.60923e-05           1.61114e-08           3.0394e-17            0.0273009             0.099081        
35     5.98706e-14     6.1314e-14            2.04781e-13           6.87776e-15           1.38971e-20           0.438033              0               
36     2.26343e-17     2.26526e-17           8.04883e-17           5.71355e-20           7.55066e-31           0.424866              0               
37     2.45656e-13     7.69888e-13           3.50011e-13           1.37431e-16           2.33583e-27           0.249754              0               
38     0.0152488       0.0140353             6.60923e-05           1.61114e-08           3.0394e-17            0.0273009             0.099081        
39     0.0107576       0.01647               0.000503519           1.7858e-06            5.16101e-13           0.0498509             0.057337        
40     0.00905416      0.00260193            3.56854e-07           5.16248e-13           3.39524e-26           0.00837779            0.069147        
41     1.67901e-28     7.21034e-31           7.39028e-28           2.57723e-29           3.61946e-37           0.526805              0               
42     1.26875e-14     1.46889e-14           4.284e-14             3.18055e-16           8.17803e-24           0.415028              0               
43     0.0151127       0.013425              5.59244e-05           1.1253e-08            1.33943e-17           0.0262952             0.099081        
44     2.71561e-08     1.23483e-07           3.31735e-10           1.951e-15             2.22639e-29           0.133851              0               
45     4.23343e-14     1.00156e-13           9.28282e-14           3.40588e-17           6.62183e-28           0.312751              0               
46     2.338e-08       1.05746e-07           8.5217e-10            3.14529e-14           6.06669e-26           0.135837              0               
47     6.93407e-10     2.57556e-09           5.8472e-10            1.21882e-12           1.92304e-20           0.202347              0               
48     6.76739e-08     3.05399e-07           3.15178e-09           1.25848e-13           2.81627e-26           0.136667              0               
49     1.18845e-38     3.88318e-46           1.63601e-39           5.25432e-38           6.68329e-42           1.10013               0               
50     5.62012e-11     2.47222e-10           9.01984e-12           3.60277e-16           5.23924e-28           0.146006              0               
51     5.7348e-14      5.42881e-14           2.05065e-13           2.11733e-15           7.53424e-23           0.433921              0               
52     5.40377e-30     5.4442e-36            4.47073e-30           2.0167e-29            6.3441e-35            1.00738               0               
53     7.37354e-46     1.12539e-57           4.01636e-48           3.35036e-45           7.49968e-48           1.12142               0               
54     1.33886e-05     5.1506e-05            9.38867e-06           1.49041e-07           6.17855e-13           0.192733              0               
55     1.59396e-50     1.62926e-69           9.15676e-57           2.76792e-51           6.99067e-50           2.73746               0               
56     6.7756e-08      3.04488e-07           4.43584e-09           1.24573e-12           3.28174e-22           0.13822               0               
57     2.9461e-31      9.66647e-40           1.27575e-32           1.32642e-30           4.05406e-33           1.11767               0               
58     1.00291e-26     7.09141e-30           4.34857e-26           2.23367e-27           2.51191e-35           0.536388              0               
59     5.12472e-31     1.03454e-37           3.79072e-31           1.95747e-30           6.33485e-36           1.01914               0               
60     3.52788e-14     1.33401e-14           1.27671e-13           1.98368e-14           9.39957e-19           0.551033              0               
61     0.00789445      0.00630054            1.73144e-05           1.5315e-09            9.29075e-20           0.0234984             0.053052        
62     0.00905416      0.00260193            3.56854e-07           5.16248e-13           3.39524e-26           0.00837779            0.069147        
63     2.79003e-11     9.19043e-11           3.52649e-11           3.87271e-14           2.04074e-23           0.23675               0               
64     0.00307054      0.00149414            7.72645e-07           3.76801e-12           3.93578e-26           0.0142066             0.022355        
65     0.00538105      0.00172995            2.59784e-07           1.99472e-13           6.94528e-29           0.00937281            0.040767        
66     1.8642e-32      2.94971e-37           3.8299e-32            4.66966e-32           4.10996e-38           0.842701              0               
67     2.83557e-10     1.2173e-09            7.5477e-11            6.01579e-14           5.79046e-23           0.154713              0               
68     7.52333e-20     4.75001e-22           1.3953e-19            2.02864e-19           1.48088e-22           0.868879              0               
69     3.42434e-06     1.55866e-05           2.62178e-08           2.18919e-13           2.9787e-27            0.133477              0               
70     8.9967e-06      4.08372e-05           1.82142e-07           9.82203e-12           1.04854e-22           0.134509              0               
71     6.05476e-19     2.82788e-19           2.47519e-18           2.61238e-21           1.30394e-31           0.468855              0               
72     4.99745e-09     1.7535e-08            5.23452e-09           1.57187e-11           4.72272e-19           0.219383              0               
73     0.0070919       0.00252671            5.36745e-07           8.02937e-13           2.4294e-27            0.0103896             0.053287        
74     3.30773e-13     1.90137e-13           1.21695e-12           1.0103e-13            1.11017e-18           0.500432              0               
75     0.00825348      0.00632356            1.51881e-05           1.09636e-09           4.29215e-20           0.0225289             0.055941        
76     1.69055e-08     7.29692e-08           4.10655e-09           2.75121e-12           2.05987e-21           0.152795              0               
77     6.15281e-68     2.55195e-100          1.77849e-81           1.16635e-72           2.80528e-67           2.80156               0               
78     2.06719e-33     8.60973e-41           2.18246e-34           9.2018e-33            5.05887e-36           1.10513               0               
79     9.02439e-11     4.09171e-10           2.28501e-12           1.13624e-17           2.71213e-32           0.134925              0               
80     1.23823e-54     1.27481e-67           8.33932e-58           3.40507e-54           2.23964e-54           1.78604               0               
81     3.39649e-21     2.23112e-21           1.32381e-20           1.66655e-23           4.26763e-34           0.453375              0               
82     2.62153e-15     1.75022e-15           1.01379e-14           6.44611e-17           8.95089e-25           0.455136              0               
83     0.00811996      0.00571948            1.0524e-05            5.17322e-10           9.65445e-21           0.0206678             0.055941        
84     7.93394e-17     3.14262e-16           4.74736e-17           2.94188e-21           5.6071e-34            0.181902              0               
85     3.2411e-46      9.36542e-60           1.69505e-49           1.156e-45             3.21571e-46           1.4846                0               
86     1.1754e-31      1.32432e-38           9.79209e-33           5.21848e-31           4.27073e-33           1.12063               0               
87     0.010533        0.0155447             0.000405262           1.11933e-06           1.74934e-13           0.0473025             0.057337        
88     1.06118e-15     9.6159e-17            4.52594e-15           2.16208e-16           1.21775e-22           0.526472              0               
89     8.75083e-10     3.97671e-09           1.31218e-11           3.52725e-17           9.77005e-32           0.134079              0               
90     4.24496e-07     1.74991e-06           1.84284e-07           1.23631e-09           6.31305e-16           0.169062              0               
91     5.26803e-05     0.000237253           2.93519e-06           7.00549e-10           1.29256e-19           0.137419              0               
92     1.76933e-26     9.14645e-29           7.61271e-26           4.45189e-27           8.61836e-35           0.5399                0               
