Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.1176)   P(D|M,rr[2]=0.4461)   P(D|M,rr[3]=0.9822)   P(D|M,rr[4]=2.4540)   Posterior mean        P(D|M,rr[0]=0)  
1      2.1877e-10      6.75868e-10           3.15765e-10           5.97819e-12           1.27673e-17           0.258508              0               
2      5.22966e-62     1.20356e-85           1.83681e-70           7.91117e-64           2.37686e-61           2.79211               0               
3      1.25121e-37     6.22438e-44           3.89428e-38           5.31525e-37           9.52192e-41           1.07834               0               
4      6.17348e-41     4.55904e-55           1.48638e-43           2.81335e-40           3.28436e-44           1.11964               0               
5      4.36034e-19     4.5775e-21            1.83031e-18           1.5346e-19            1.27325e-26           0.554907              0               
6      1.04692e-59     2.85872e-81           6.04414e-67           7.03356e-61           4.7037e-59            2.77295               0               
7      1.79845e-30     1.87431e-36           1.38295e-30           6.81807e-30           4.98857e-35           1.01672               0               
8      2.82865e-48     4.74996e-62           7.90921e-51           1.28752e-47           1.57912e-50           1.12145               0               
9      3.61082e-55     6.36269e-82           3.31026e-65           8.52455e-58           1.64571e-54           2.7968                0               
10     1.19099e-62     1.13231e-94           1.62515e-76           7.83796e-68           5.43102e-62           2.79767               0               
11     9.99297e-32     4.50519e-37           1.67194e-31           2.88494e-31           1.98243e-37           0.89553               0               
12     1.19064e-07     5.05339e-07           3.75543e-08           5.11593e-11           7.2785e-19            0.160048              0               
13     1.33298e-35     5.13623e-43           1.56605e-36           5.91742e-35           4.50657e-38           1.10527               0               
14     5.75586e-33     1.14998e-37           1.40479e-32           1.21993e-32           1.6636e-39            0.79266               0               
15     5.8947e-16      1.55964e-16           2.45129e-15           8.07866e-17           4.51459e-23           0.505235              0               
16     2.6678e-29      1.05528e-32           9.81907e-29           2.34528e-29           1.79549e-36           0.62639               0               
17     3.83444e-44     3.90676e-57           3.95861e-47           1.62707e-43           1.21074e-44           1.23582               0               
18     2.61012e-08     1.05565e-07           1.34494e-08           9.88227e-12           4.82747e-21           0.176453              0               
19     1.02452e-26     1.52753e-30           2.60878e-26           2.06294e-26           8.65735e-32           0.778463              0               
20     3.10648e-05     0.000140503           1.15484e-06           1.59698e-10           1.07654e-20           0.137102              0               
21     1.67016e-31     1.31055e-39           4.70396e-33           7.33236e-31           2.36687e-32           1.16814               0               
22     6.66101e-26     6.13572e-31           8.16521e-26           2.22095e-25           8.53276e-31           0.955482              0               
23     2.85018e-39     8.97823e-49           1.25862e-40           1.28684e-38           2.77663e-42           1.11421               0               
24     1.63687e-18     1.72977e-20           7.17111e-18           2.75869e-19           1.25966e-26           0.530319              0               
25     1.21607e-38     5.32822e-46           1.5125e-39            5.39247e-38           1.65196e-41           1.1036                0               
