Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.1237)   P(D|M,rr[2]=0.4561)   P(D|M,rr[3]=0.9882)   P(D|M,rr[4]=2.4319)   Posterior mean        P(D|M,rr[0]=0)  
1      8.7556e-07      3.84136e-06           1.21291e-08           6.2143e-13            2.19805e-23           0.137271              0               
2      5.98867e-19     4.89588e-19           2.14499e-18           1.13598e-21           3.15657e-31           0.434204              0               
3      0.00799844      0.0120123             0.000187982           2.76235e-07           1.41378e-14           0.0491371             0.057337        
4      6.88153e-06     3.02731e-05           1.37302e-08           2.48172e-14           7.2292e-29            0.136285              0               
5      0.000112483     0.000469681           2.52986e-05           7.54033e-08           9.45855e-15           0.154956              0               
6      1.9346e-18      3.11103e-19           7.98925e-18           2.14143e-19           4.43551e-26           0.503255              0               
7      0.00567579      0.00369368            3.48822e-06           9.24779e-11           1.39443e-21           0.0201973             0.053052        
8      2.35128e-09     1.02956e-08           5.27837e-11           1.47932e-15           4.31698e-26           0.137985              0               
9      0.00220885      0.000753273           9.12433e-08           6.96327e-14           5.25688e-29           0.0105519             0.022355        
10     1.17664e-05     5.16305e-05           1.5535e-07            7.2842e-12            1.8489e-22            0.137217              0               
11     2.90249e-26     6.10952e-30           1.06087e-25           2.16502e-26           7.32914e-34           0.601102              0               
12     7.91948e-32     8.00219e-36           2.07811e-31           1.4073e-31            5.11561e-37           0.738275              0               
13     1.58219e-27     1.25617e-36           2.10683e-30           9.50963e-28           6.01044e-27           2.45822               0               
14     1.88905e-27     3.75927e-37           1.86938e-30           1.16068e-27           7.1515e-27            2.45356               0               
15     1.12984e-23     6.42641e-31           2.50721e-25           3.10241e-23           1.84514e-23           1.67381               0               
16     6.73255e-26     1.15871e-31           7.2144e-27            2.46299e-25           4.2798e-26            1.30253               0               
17     0.042302        0.042302              0.042302              0.042302              0.042302              1                     0.042302        
18     6.21863e-33     2.67526e-39           2.01145e-33           2.53458e-32           1.19497e-35           1.04502               0               
19     9.73058e-23     7.30254e-25           2.85584e-22           1.41939e-22           6.70108e-27           0.695345              0               
20     2.74787e-10     2.13052e-13           9.50484e-12           8.63153e-11           1.11335e-09           2.5449                0               
21     0.00798291      0.011233              0.00926983            0.00681895            0.00297182            0.61331               0.012066        
22     0.000129156     3.56332e-05           0.00011239            0.00018908            0.000231335           1.55841               0               
23     6.87064e-05     3.35674e-05           8.80263e-05           0.000111687           6.91081e-05           1.17436               0               
24     4.02523e-08     1.74659e-09           1.78249e-08           5.35878e-08           1.03998e-07           1.95155               0               
