Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.1132)   P(D|M,rr[2]=0.4388)   P(D|M,rr[3]=0.9777)   P(D|M,rr[4]=2.4704)   Posterior mean        P(D|M,rr[0]=0)  
1      0.0133231       0.0189192             0.000793957           4.42169e-06           3.73956e-12           0.0468026             0.057337        
2      0.0103619       0.0026688             3.83977e-07           3.08086e-13           5.53447e-28           0.00729265            0.061197        
3      0.00927906      0.0035442             1.61096e-06           6.74338e-12           1.55893e-25           0.0108279             0.053287        
4      0.0133231       0.0189192             0.000793957           4.42169e-06           3.73956e-12           0.0468026             0.057337        
5      0.0103619       0.0026688             3.83977e-07           3.08086e-13           5.53447e-28           0.00729265            0.061197        
6      5.60141e-05     0.00026659            1.95214e-07           7.85037e-13           1.79225e-25           0.135065              0               
7      0.0133231       0.0189192             0.000793957           4.42169e-06           3.73956e-12           0.0468026             0.057337        
8      0.00927906      0.0035442             1.61096e-06           6.74338e-12           1.55893e-25           0.0108279             0.053287        
9      0.00707874      0.00261559            1.03991e-06           3.17926e-12           2.06345e-26           0.0104725             0.040767        
10     5.07933e-08     2.39917e-07           2.00323e-09           5.41926e-14           1.08829e-26           0.137992              0               
11     4.05945e-07     1.87689e-06           5.64937e-08           5.96033e-11           1.13332e-18           0.14614               0               
12     1.22239e-20     3.30101e-23           4.17473e-20           1.64398e-20           5.05107e-26           0.703409              0               
13     5.60146e-12     2.52366e-11           1.44207e-12           9.44799e-17           5.73805e-28           0.155739              0               
14     2.28662e-35     5.18206e-41           2.13252e-35           8.75813e-35           1.07771e-39           1.0385                0               
15     5.71946e-38     7.08815e-48           4.1522e-40            2.50781e-37           2.12125e-38           1.30156               0               
16     7.9231e-30      5.59711e-36           2.34427e-30           3.53813e-29           1.08167e-32           1.12478               0               
17     2.78086e-50     1.26485e-66           4.18352e-55           2.23549e-50           1.10092e-49           2.64149               0               
18     1.69361e-32     5.72934e-42           3.07037e-35           2.30347e-32           5.75983e-32           2.43301               0               
19     2.30676e-36     7.99685e-48           4.84482e-39           9.03578e-36           1.94607e-36           1.47868               0               
20     5.65879e-51     1.25864e-68           1.12644e-56           1.03447e-51           2.59174e-50           2.87326               0               
21     1.63388e-05     7.60582e-05           1.75975e-06           1.01023e-09           1.39691e-18           0.143561              0               
22     5.41195e-52     1.76856e-75           5.99863e-61           2.26537e-54           2.57535e-51           2.93992               0               
23     5.66481e-23     7.9141e-26            2.28016e-22           4.17094e-23           1.02921e-28           0.621515              0               
24     2.073e-24       2.64122e-25           9.53836e-24           7.08731e-26           4.61567e-34           0.516661              0               
25     1.04108e-22     3.88514e-25           4.52332e-22           4.31283e-23           3.83941e-30           0.577937              0               
26     1.14019e-18     1.58629e-20           4.618e-18             7.96669e-19           2.41953e-24           0.615434              0               
27     2.02131e-26     5.42339e-30           7.27613e-26           2.35047e-26           3.20439e-33           0.679078              0               
28     6.36312e-08     2.97239e-07           5.82497e-09           6.55459e-13           5.81378e-24           0.142235              0               
29     0.000292163     0.000156453           0.000413742           0.000503076           0.000318249           1.26409               0               
30     2.1172e-06      8.5705e-06            1.49313e-06           2.02019e-08           4.93009e-14           0.194243              0               
31     2.60603e-40     1.82921e-49           2.20466e-41           1.21907e-39           8.76553e-44           1.15287               0               
32     3.301e-11       1.50393e-10           6.82733e-12           6.75862e-16           9.67717e-28           0.15162               0               
33     2.51187e-40     1.20079e-54           1.52347e-43           1.12279e-39           7.3412e-41            1.27312               0               
34     1.84059e-56     2.46154e-85           7.2737e-69            7.1314e-61            8.76636e-56           2.94147               0               
35     5.86632e-20     2.17753e-21           2.41026e-19           3.61986e-20           2.81919e-25           0.602545              0               
36     1.65152e-14     1.19862e-14           6.54726e-14           1.20015e-15           3.48899e-22           0.473146              0               
37     2.49253e-25     7.4484e-28            1.04063e-24           1.45777e-25           4.39207e-32           0.600981              0               
38     2.27369e-36     1.47061e-47           1.19226e-38           1.06348e-35           1.82428e-37           1.19337               0               
39     0.00705518      0.00250354            8.77855e-07           2.18214e-12           8.04104e-27           0.0100555             0.040767        
40     0.042302        0.042302              0.042302              0.042302              0.042302              1                     0.042302        
41     0.061197        0.061197              0.061197              0.061197              0.061197              1                     0.061197        
42     0.057337        0.057337              0.057337              0.057337              0.057337              1                     0.057337        
43     0.061197        0.061197              0.061197              0.061197              0.061197              1                     0.061197        
44     0.062157        0.062157              0.062157              0.062157              0.062157              1                     0.062157        
45     0.062157        0.062157              0.062157              0.062157              0.062157              1                     0.062157        
46     0.061197        0.061197              0.061197              0.061197              0.061197              1                     0.061197        
47     0.0646          0.0646                0.0646                0.0646                0.0646                1                     0.0646          
48     0.062157        0.062157              0.062157              0.062157              0.062157              1                     0.062157        
49     0.069147        0.069147              0.069147              0.069147              0.069147              1                     0.069147        
50     0.099081        0.099081              0.099081              0.099081              0.099081              1                     0.099081        
51     0.053287        0.053287              0.053287              0.053287              0.053287              1                     0.053287        
52     0.055941        0.055941              0.055941              0.055941              0.055941              1                     0.055941        
53     0.034155        0.034155              0.034155              0.034155              0.034155              1                     0.034155        
54     0.069147        0.069147              0.069147              0.069147              0.069147              1                     0.069147        
55     0.061197        0.061197              0.061197              0.061197              0.061197              1                     0.061197        
56     0.053052        0.053052              0.053052              0.053052              0.053052              1                     0.053052        
57     0.040767        0.040767              0.040767              0.040767              0.040767              1                     0.040767        
58     0.053287        0.053287              0.053287              0.053287              0.053287              1                     0.053287        
59     0.055941        0.055941              0.055941              0.055941              0.055941              1                     0.055941        
60     0.071586        0.071586              0.071586              0.071586              0.071586              1                     0.071586        
61     7.13463e-32     8.14484e-39           4.49427e-32           2.94865e-31           1.84639e-36           1.07928               0               
62     7.95051e-39     2.77735e-50           1.84607e-41           3.21363e-38           5.71209e-39           1.43193               0               
63     2.07527e-40     1.61766e-51           8.03408e-43           9.30656e-40           5.6957e-41            1.26603               0               
64     2.85057e-23     2.10213e-25           1.02392e-22           3.31653e-23           1.68347e-28           0.678585              0               
65     8.18098e-46     1.451e-64             7.26076e-52           1.85527e-46           3.71093e-45           2.85686               0               
66     5.24664e-06     1.94174e-05           5.4135e-06            1.57959e-07           2.81214e-12           0.225266              0               
67     0.040767        0.040767              0.040767              0.040767              0.040767              1                     0.040767        
68     0.069147        0.069147              0.069147              0.069147              0.069147              1                     0.069147        
69     9.49011e-59     9.54838e-82           2.82852e-67           7.70693e-61           4.51227e-58           2.93845               0               
70     1.84688e-40     3.26505e-56           3.48496e-44           7.81432e-40           9.81693e-41           1.36247               0               
71     1.48832e-24     1.3437e-27            6.49381e-24           5.93466e-25           2.23122e-32           0.576076              0               
72     6.75442e-29     4.13886e-33           1.98144e-28           1.23553e-28           4.87025e-35           0.768878              0               
73     3.13868e-31     1.28693e-41           4.80528e-33           1.48495e-30           5.14218e-33           1.16819               0               
74     2.82971e-43     4.78459e-63           4.40532e-51           1.37816e-45           1.34636e-42           2.93967               0               
75     9.16269e-47     3.3475e-64            3.36904e-52           4.63946e-47           3.90008e-46           2.75253               0               
76     1.45027e-57     9.51735e-85           6.65596e-69           2.17398e-61           6.90719e-57           2.94143               0               
77     1.0899e-46      2.53619e-61           3.0818e-50            4.05291e-46           1.1378e-46            1.55367               0               
78     1.4183e-51      9.25374e-69           4.81746e-57           4.15051e-52           6.34006e-51           2.83228               0               
79     5.72868e-44     5.71122e-62           2.93503e-50           3.48058e-45           2.69366e-43           2.91881               0               
80     1.01446e-67     3.52345e-104          8.12265e-85           6.88861e-75           4.83171e-67           2.94148               0               
81     4.12088e-44     6.45231e-61           1.09704e-49           7.35614e-45           1.88914e-43           2.87487               0               
82     1.73524e-17     1.93447e-18           7.42193e-17           6.49276e-18           1.81951e-23           0.563765              0               
83     2.3486e-32      9.38853e-43           2.36014e-34           1.10687e-31           9.36626e-34           1.17767               0               
84     1.29114e-45     2.14432e-59           3.95157e-49           3.39441e-45           2.75469e-45           1.96027               0               
85     2.06487e-48     1.40847e-62           1.29116e-52           1.38073e-48           8.45378e-48           2.69192               0               
86     1.37425e-31     1.25027e-39           1.23353e-32           6.41583e-31           6.13283e-34           1.15371               0               
87     1.82275e-64     3.48736e-98           4.17097e-79           6.17022e-70           8.68145e-64           2.94148               0               
