Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.1253)   P(D|M,rr[2]=0.4586)   P(D|M,rr[3]=0.9897)   P(D|M,rr[4]=2.4264)   Posterior mean        P(D|M,rr[0]=0)  
1      0.00960763      0.00184346            3.38451e-07           1.44384e-12           1.39341e-24           0.0060132             0.055941        
2      0.00960763      0.00184346            3.38451e-07           1.44384e-12           1.39341e-24           0.0060132             0.055941        
3      7.67749e-45     5.21168e-53           1.66059e-46           3.42345e-44           2.37181e-45           1.29318               0               
4      6.71144e-11     3.21357e-10           9.7203e-14            4.9441e-20            5.68814e-35           0.150123              0               
5      6.44558e-07     3.08506e-06           2.14563e-09           2.09165e-14           5.87492e-26           0.15028               0               
6      2.05362e-14     9.71774e-14           1.18342e-15           7.29696e-21           1.18719e-34           0.154805              0               
7      1.34191e-19     4.74745e-19           1.67963e-19           1.75481e-23           3.97972e-34           0.25435               0               
8      1.02475e-78     8.25447e-98           3.45066e-84           4.93805e-79           4.41438e-78           2.73228               0               
9      6.35929e-35     1.54168e-38           2.56072e-34           4.84993e-35           2.24062e-41           0.650422              0               
10     0.0111409       0.00803769            4.76395e-05           1.87334e-08           1.30215e-16           0.0230854             0.057337        
11     2.41111e-57     2.45275e-76           2.07077e-63           3.93257e-58           1.11551e-56           2.84678               0               
12     2.7975e-21      4.82606e-21           8.5702e-21            2.76612e-24           1.76025e-34           0.40554               0               
13     9.66877e-53     1.22442e-68           2.6782e-57            8.56642e-53           3.77433e-52           2.58713               0               
14     2.03863e-24     1.30686e-25           9.60274e-24           3.08892e-26           4.4459e-35            0.545857              0               
15     0.0111409       0.00803769            4.76395e-05           1.87334e-08           1.30215e-16           0.0230854             0.057337        
16     5.26185e-11     2.51967e-10           5.70996e-14           1.57875e-20           4.30915e-36           0.150093              0               
17     1.42034e-43     2.81844e-57           1.37147e-46           6.28834e-43           5.13188e-44           1.31473               0               
18     1.22143e-17     5.33887e-17           5.11338e-18           1.6256e-22            1.67521e-35           0.184896              0               
19     2.58187e-31     6.85423e-36           1.51561e-31           1.08146e-30           3.59404e-33           1.11215               0               
20     9.99827e-17     4.34307e-16           4.45738e-17           6.08632e-22           5.61215e-34           0.187159              0               
21     1.10229e-22     1.03296e-22           4.24422e-22           2.40821e-25           1.56583e-35           0.471377              0               
22     1.55153e-31     2.82628e-34           6.82808e-31           6.00377e-32           1.31846e-38           0.600411              0               
23     0.00678728      0.000317366           1.33554e-09           3.58113e-17           3.79181e-34           0.00146442            0.040767        
24     2.74934e-06     1.31675e-05           8.26288e-10           8.84487e-17           6.87543e-33           0.150027              0               
25     0.00379308      4.4473e-05            5.2627e-12            1.08523e-21           1.03961e-43           0.000367197           0.022951        
26     2.25235e-27     1.26383e-28           1.0645e-26            1.65397e-29           2.59789e-40           0.545486              0               
27     1.3107e-12      6.26603e-12           1.17619e-14           9.24346e-21           1.12343e-36           0.15075               0               
28     1.04585e-19     1.4929e-19            3.5159e-19            4.57119e-23           3.63829e-36           0.430277              0               
29     1.8408e-32      7.59259e-35           7.41841e-32           1.39076e-32           1.846e-38             0.649152              0               
30     0.00886182      0.000367376           1.2629e-09            2.57176e-17           1.9441e-34            0.00129834            0.053287        
31     2.84906e-40     8.11705e-49           2.77338e-41           1.3368e-39            6.60058e-44           1.17225               0               
32     2.07251e-31     1.20262e-34           8.429e-31             1.49639e-31           2.31579e-38           0.644999              0               
33     7.58924e-19     2.77615e-18           8.58801e-19           1.71963e-23           8.17622e-36           0.244319              0               
34     5.62304e-56     3.06364e-77           2.10971e-62           1.92186e-56           2.50105e-55           2.7826                0               
35     4.51096e-53     4.85592e-65           3.45053e-55           2.12466e-52           3.24708e-54           1.20993               0               
36     8.60283e-21     1.426e-20             2.69431e-20           1.33673e-24           2.88404e-38           0.411059              0               
37     6.95848e-20     3.19503e-19           1.37826e-20           2.14734e-25           1.51197e-37           0.166511              0               
38     6.53298e-44     9.12359e-58           7.02364e-47           3.08549e-43           4.2873e-45            1.20852               0               
39     1.11438e-19     3.11002e-19           2.22736e-19           8.83352e-24           8.90016e-38           0.316602              0               
40     5.62641e-24     1.04207e-24           2.58974e-23           8.97368e-27           1.02858e-37           0.533963              0               
41     3.61436e-36     1.77687e-39           1.69572e-35           3.5247e-37            4.14662e-47           0.562094              0               
42     1.3781e-42      1.6867e-52            4.7844e-44            6.54603e-42           6.71122e-45           1.18223               0               
43     1.82887e-13     8.24035e-13           5.1925e-14            4.29128e-18           2.48995e-30           0.17367               0               
44     2.42914e-14     1.15313e-13           1.03414e-15           1.04283e-20           3.94361e-34           0.15355               0               
45     1.06357e-09     4.95434e-09           1.39791e-10           7.09802e-15           3.09867e-26           0.160958              0               
46     5.69636e-51     8.45111e-60           8.89715e-52           2.63926e-50           1.18128e-54           1.16443               0               
47     0.0110081       0.00741383            3.54686e-05           9.93842e-09           2.80239e-17           0.021462              0.057337        
48     1.01129e-33     1.88899e-38           3.88008e-33           9.63603e-34           1.39259e-41           0.675693              0               
49     2.2123e-18      1.35133e-18           9.22989e-18           1.4929e-20            5.31298e-30           0.499175              0               
50     1.14097e-27     2.68591e-30           5.3168e-27            1.45353e-28           7.0623e-37            0.565905              0               
51     1.78291e-22     8.00862e-22           5.30852e-23           1.51514e-27           3.65211e-39           0.174819              0               
52     0.00955687      0.00160049            2.02468e-07           4.82569e-13           1.03519e-25           0.00524727            0.055941        
53     1.6616e-34      5.18284e-41           3.47893e-34           4.47952e-34           1.83489e-40           0.907115              0               
54     3.04725e-07     1.45951e-06           1.43187e-11           4.42442e-19           4.07337e-36           0.150006              0               
