Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.0996)   P(D|M,rr[2]=0.4147)   P(D|M,rr[3]=0.9621)   P(D|M,rr[4]=2.5237)   Posterior mean        P(D|M,rr[0]=0)  
1      2.11924e-05     8.10742e-05           7.86328e-06           2.83247e-08           1.2899e-15            0.134031              0               
2      2.9531e-21      5.27005e-21           7.12665e-21           4.21286e-25           4.56069e-37           0.294636              0               
3      0.00400179      0.00400747            7.95497e-07           8.95731e-13           3.06615e-26           0.0249526             0.0646          
4      1.34875e-23     2.06766e-26           5.62359e-23           3.6401e-25            2.99183e-34           0.438757              0               
5      0.00231732      0.00141631            3.82471e-08           1.11357e-15           4.74887e-33           0.0152183             0.041977        
6      1.22217e-17     8.82624e-19           4.94715e-17           9.52766e-19           7.27594e-26           0.440165              0               
7      3.84124e-07     1.59038e-06           2.21784e-08           8.84197e-13           1.06806e-24           0.109065              0               
8      0.00715628      0.010412              1.13146e-05           2.44845e-10           1.06788e-20           0.0363873             0.099081        
9      3.83913e-07     1.58981e-06           2.18615e-08           7.46246e-13           9.41957e-25           0.109002              0               
10     2.63321e-21     1.06229e-22           1.09413e-20           6.71565e-24           4.81503e-34           0.432356              0               
11     1.17676e-35     3.47619e-46           6.66816e-37           4.87311e-35           2.3266e-39            1.00202               0               
12     1.47335e-36     1.53152e-45           6.01055e-38           6.11866e-36           6.36803e-39           1.0058                0               
13     4.47686e-25     3.36421e-29           1.1862e-24            6.93153e-25           3.4669e-31            0.64707               0               
14     7.04465e-06     2.9496e-05            7.74773e-08           9.30098e-13           3.88287e-25           0.105383              0               
15     0.041977        0.041977              0.041977              0.041977              0.041977              1                     0.041977        
16     0.04404         0.04404               0.04404               0.04404               0.04404               1                     0.04404         
17     1.17398e-45     2.0203e-61            1.24706e-50           4.59429e-46           4.46893e-45           2.49582               0               
