Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.1023)   P(D|M,rr[2]=0.4196)   P(D|M,rr[3]=0.9653)   P(D|M,rr[4]=2.5128)   Posterior mean        P(D|M,rr[0]=0)  
1      0.00762432      0.0130177             0.000137219           6.46651e-08           9.07853e-17           0.045542              0.057337        
2      7.62851e-39     2.56295e-45           9.2433e-39            2.3932e-38            8.03259e-45           0.884207              0               
3      0.00762432      0.0130177             0.000137219           6.46651e-08           9.07853e-17           0.045542              0.057337        
4      6.64838e-23     9.71417e-24           2.78741e-22           6.72836e-25           7.61146e-35           0.445941              0               
5      0.00545561      0.0042088             1.7225e-06            5.77579e-12           3.0428e-25            0.0197569             0.055941        
6      0.00188517      0.000191849           8.64713e-11           3.83889e-21           6.55126e-46           0.00260186            0.022951        
7      2.58915e-31     1.81545e-36           1.58374e-31           9.67549e-31           5.73553e-35           0.966157              0               
8      1.03583e-13     4.42063e-13           8.40403e-15           4.62892e-20           1.08563e-34           0.117622              0               
9      0.00199659      0.0003766             0.0015415             0.0029265             0.00383827            1.64722               0               
10     0.00226409      0.000766217           0.00233645            0.00336804            0.0033755             1.41249               0               
11     0.00254975      0.00112011            0.0029054             0.00361972            0.00344327            1.32171               0               
12     0.00254975      0.00112011            0.0029054             0.00361972            0.00344327            1.32171               0               
13     0.00226409      0.000766217           0.00233645            0.00336804            0.0033755             1.41249               0               
14     0.00430136      0.00223327            0.00529064            0.00604096            0.0051411             1.23208               0               
15     2.5773e-58      2.72576e-78           4.25714e-63           1.04192e-57           7.89038e-59           1.16797               0               
16     3.29461e-42     3.963e-47             1.32365e-41           1.09123e-42           3.70453e-52           0.501342              0               
17     0.041977        0.041977              0.041977              0.041977              0.041977              1                     0.041977        
18     0.0646          0.0646                0.0646                0.0646                0.0646                1                     0.0646          
19     0.041977        0.041977              0.041977              0.041977              0.041977              1                     0.041977        
20     0.062157        0.062157              0.062157              0.062157              0.062157              1                     0.062157        
21     0.061197        0.061197              0.061197              0.061197              0.061197              1                     0.061197        
22     5.78122e-06     2.34575e-05           1.68163e-06           2.50981e-09           1.26553e-17           0.134353              0               
23     0.00590879      0.00316026            3.61667e-07           1.77541e-13           2.18503e-28           0.0136805             0.0646          
24     3.69536e-06     1.60693e-05           1.21266e-09           4.75661e-17           6.13884e-36           0.111212              0               
25     1.02395e-16     3.0074e-17            4.12705e-16           2.52199e-18           3.13563e-27           0.436213              0               
26     1.29603e-17     9.36991e-19           5.49435e-17           4.81929e-19           2.77155e-27           0.455489              0               
27     5.24544e-35     2.79056e-41           2.61433e-35           2.01967e-34           5.96671e-39           0.981574              0               
28     2.5262e-15      1.48941e-15           9.4593e-15            3.73732e-17           1.01761e-25           0.411401              0               
29     6.92576e-67     7.26531e-97           1.48931e-78           2.68178e-70           3.01164e-66           2.73183               0               
30     0.053052        0.053052              0.053052              0.053052              0.053052              1                     0.053052        
31     4.23691e-15     1.53408e-15           1.64934e-14           3.98194e-16           3.68224e-23           0.440252              0               
32     6.22642e-48     4.03874e-63           6.10212e-51           2.70576e-47           1.40396e-50           1.05027               0               
33     8.16519e-29     9.31992e-35           2.58318e-29           3.29196e-28           6.47068e-32           1.00667               0               
34     4.45006e-16     1.09966e-15           8.35594e-16           1.04568e-20           1.28596e-34           0.260137              0               
35     2.18856e-23     2.11043e-24           9.28318e-23           2.35046e-25           2.71876e-35           0.449966              0               
36     5.94081e-35     6.00645e-40           1.31329e-34           1.27027e-34           3.00891e-41           0.747902              0               
37     2.29234e-43     1.74486e-54           5.06559e-45           9.91833e-43           5.65628e-48           1.04653               0               
38     1.32643e-17     5.40515e-17           3.63277e-18           1.89561e-24           4.35745e-42           0.13291               0               
39     3.47532e-19     8.67858e-20           1.4183e-18            6.27603e-21           1.70336e-29           0.438805              0               
40     7.59714e-60     2.13368e-86           4.49945e-70           1.08081e-62           3.3028e-59            2.73143               0               
41     6.9729e-45      1.04264e-56           1.06864e-46           3.02162e-44           1.05086e-48           1.0475                0               
42     2.52337e-23     8.18869e-26           1.05633e-22           4.02306e-24           9.49587e-33           0.477646              0               
43     1.9856e-45      1.71346e-59           2.19279e-48           8.54069e-45           9.22117e-47           1.06735               0               
44     0.000459637     0.000113168           0.000389484           0.000670133           0.000826108           1.57611               0               
45     0.00223521      0.000601602           0.00204096            0.00340265            0.00367539            1.50301               0               
46     0.0673352       0.0935863             0.0785964             0.0587264             0.0273573             0.623678              0.099081        
47     0.0348177       0.0427368             0.0389391             0.0331949             0.0211828             0.760971              0.04404         
48     0.000364789     7.23613e-05           0.000265045           0.000501047           0.000747959           1.70083               0               
49     0.000389342     9.54966e-05           0.000331931           0.000576073           0.000689689           1.5656                0               
50     8.02563e-05     1.80778e-05           6.42571e-05           0.000115656           0.000151032           1.61973               0               
51     0.000210884     5.98126e-05           0.000199199           0.000323118           0.000334975           1.47397               0               
52     5.07753e-05     9.45885e-07           1.33475e-05           5.22814e-05           0.000154239           2.18484               0               
53     6.80267e-06     1.78263e-07           2.35633e-06           8.29314e-06           1.87561e-05           2.06329               0               
54     5.60633e-64     1.38918e-97           9.06465e-78           1.41438e-68           2.4381e-63            2.73197               0               
55     1.7213e-44      3.04213e-56           5.38688e-46           7.43178e-44           8.06954e-50           1.04527               0               
56     1.71064e-64     3.06588e-98           3.93924e-79           6.71249e-70           7.43932e-64           2.73198               0               
57     4.23463e-40     6.65573e-52           6.08105e-43           1.45149e-39           3.89481e-40           1.40517               0               
58     6.19853e-27     1.62704e-28           2.67669e-26           2.69122e-29           1.56897e-39           0.45466               0               
59     5.03764e-61     1.52912e-85           7.42575e-70           3.63276e-63           2.18716e-60           2.72919               0               
60     5.71876e-39     2.23741e-46           2.327e-39             2.2543e-38            7.27206e-44           0.994019              0               
61     5.27036e-27     2.45644e-31           2.22477e-26           6.72065e-28           8.20056e-37           0.473545              0               
62     1.40803e-30     4.16835e-34           6.01482e-30           1.08082e-31           1.79983e-41           0.4666                0               
63     1.374e-25       8.34426e-28           5.94726e-25           1.97112e-27           2.31644e-37           0.457625              0               
64     1.46065e-06     6.35142e-06           7.07034e-10           4.17069e-17           2.90608e-33           0.111224              0               
65     1.0348e-29      3.03687e-33           4.14939e-29           3.50515e-30           2.62924e-39           0.502344              0               
66     1.87143e-35     2.89593e-42           1.82782e-35           6.31077e-35           8.66738e-42           0.916269              0               
67     1.74867e-34     5.19836e-43           7.74091e-36           7.51666e-34           1.06395e-36           1.04585               0               
68     0.053287        0.053287              0.053287              0.053287              0.053287              1                     0.053287        
69     6.29233e-50     1.7056e-65            3.95235e-53           2.73064e-49           5.40831e-52           1.05277               0               
70     5.14465e-29     9.99169e-34           7.70281e-29           1.46703e-28           7.02742e-34           0.845242              0               
71     1.29646e-34     4.84964e-44           1.0363e-35            5.53446e-34           3.50792e-39           1.03864               0               
72     3.21719e-62     2.20121e-81           2.92076e-67           5.11528e-62           8.87576e-62           2.11686               0               
73     4.43733e-50     1.22332e-73           1.29406e-57           3.71822e-51           1.89255e-49           2.69956               0               
74     6.8766e-08      3.13519e-09           3.98852e-08           1.18747e-07           1.37286e-07           1.73291               0               
75     2.98953e-14     8.24962e-14           4.74968e-14           1.73493e-17           5.21952e-28           0.237337              0               
76     5.0426e-48      1.85472e-65           5.39138e-52           2.1514e-47            4.14967e-49           1.08136               0               
77     1.29255e-67     8.02272e-105          3.08865e-84           3.06217e-74           5.62109e-67           2.73198               0               
