Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.0898)   P(D|M,rr[2]=0.3961)   P(D|M,rr[3]=0.9492)   P(D|M,rr[4]=2.5649)   Posterior mean        P(D|M,rr[0]=0)  
1      0.0116676       0.0133984             1.71275e-05           1.92491e-10           7.19873e-23           0.0259336             0.099081        
2      0.00801832      0.00504399            4.86947e-07           4.89035e-14           3.51448e-32           0.0141328             0.079066        
3      2.42531e-44     2.96856e-57           1.41842e-46           1.06093e-43           4.22304e-48           1.03876               0               
4      6.29897e-42     1.71419e-52           1.06219e-42           2.653e-41             2.94963e-49           1.01618               0               
5      9.25896e-23     1.8644e-25            3.70887e-22           3.45092e-23           1.47963e-31           0.48514               0               
6      0.00868261      0.0160088             0.000211829           9.44391e-08           3.18975e-17           0.0438242             0.057337        
7      4.01433e-15     5.63307e-15           1.19437e-14           7.76261e-18           2.49101e-29           0.326584              0               
8      0.00145159      0.00143615            8.09201e-07           1.15652e-12           1.64381e-29           0.0222733             0.012937        
9      0.00196501      0.00393086            8.63345e-05           8.91917e-08           2.00332e-16           0.049285              0.012066        
10     0.00868261      0.0160088             0.000211829           9.44391e-08           3.18975e-17           0.0438242             0.057337        
11     5.81667e-08     2.54712e-07           8.2742e-11            5.12808e-18           1.37393e-35           0.0984802             0               
12     1.13957e-07     4.91372e-07           7.81006e-09           1.90585e-13           1.1752e-26            0.103619              0               
13     3.09652e-05     0.000135308           3.33262e-07           1.69132e-12           4.69376e-27           0.0991953             0               
14     2.41048e-17     3.06428e-17           7.49443e-17           2.36876e-21           6.39716e-37           0.336437              0               
15     3.13837e-10     1.36386e-09           1.08846e-11           4.34468e-18           3.36884e-35           0.101027              0               
16     1.64692e-21     3.52874e-22           6.85999e-21           1.36518e-24           9.23719e-39           0.417464              0               
17     2.12639e-22     4.22663e-23           8.8918e-22            5.6383e-27            2.47819e-46           0.418539              0               
18     1.4699e-08      6.42843e-08           1.03665e-10           4.60872e-17           1.2393e-34            0.0989112             0               
19     1.38418e-24     6.22822e-29           3.28297e-24           2.78029e-24           2.06818e-31           0.71151               0               
20     4.24455e-16     3.1558e-16            1.54285e-15           8.67241e-19           9.89961e-31           0.377112              0               
21     6.85366e-17     1.72608e-16           1.27609e-16           2.57461e-21           7.29144e-37           0.240935              0               
22     5.11087e-21     5.28576e-23           2.21724e-20           1.62574e-22           1.96687e-33           0.437361              0               
23     3.01897e-50     1.60264e-67           4.88337e-54           1.32182e-49           5.66159e-53           1.04023               0               
24     1.87035e-44     2.4009e-55            6.02882e-46           8.13264e-44           9.61902e-50           1.03504               0               
25     2.94482e-29     1.71291e-35           3.2853e-29            9.61428e-29           7.01011e-36           0.885226              0               
26     1.27864e-15     8.87645e-17           4.77504e-15           7.37181e-16           1.36252e-21           0.508165              0               
27     2.74048e-42     2.61245e-56           3.35041e-45           1.19946e-41           6.54633e-45           1.04029               0               
28     7.54982e-49     7.78944e-66           2.04178e-52           3.30603e-48           9.11908e-52           1.03995               0               
29     2.61836e-63     1.63215e-87           8.6665e-70            7.76508e-63           3.70446e-63           1.61095               0               
30     2.36252e-34     1.44788e-39           9.98001e-34           3.6883e-35            5.65649e-46           0.455342              0               
31     4.91463e-24     3.71771e-25           2.10374e-23           1.19051e-25           3.39818e-36           0.431312              0               
32     1.04281e-38     2.90396e-45           3.90928e-38           6.58681e-39           2.99959e-49           0.5211                0               
33     2.26499e-10     9.90479e-10           1.68443e-12           1.34644e-19           5.94814e-40           0.0989406             0               
34     0.00407322      0.00187301            5.16604e-08           4.73291e-16           1.45219e-37           0.0103278             0.041977        
35     0.00802178      0.00790043            4.85224e-06           1.24701e-11           2.72449e-26           0.0221772             0.071586        
36     8.61483e-12     3.72507e-11           4.85947e-13           5.11209e-19           5.61368e-35           0.10269               0               
37     3.00031e-09     1.31354e-08           7.24849e-12           2.36198e-19           9.80159e-38           0.0985562             0               
38     0.00223183      0.00127174            7.61159e-08           2.22489e-15           1.7951e-36            0.0127998             0.022355        
39     0.00407322      0.00187301            5.16604e-08           4.73291e-16           1.45219e-37           0.0103278             0.041977        
40     1.23292e-06     4.8754e-06            5.23726e-07           1.58601e-09           1.93801e-17           0.131171              0               
41     1.78356e-63     1.41379e-84           1.44114e-69           1.62434e-63           6.18841e-63           2.44095               0               
42     0.00649113      0.00212821            2.18864e-08           1.05932e-16           6.42327e-36           0.00736317            0.069147        
43     0.00407322      0.00187301            5.16604e-08           4.73291e-16           1.45219e-37           0.0103278             0.041977        
44     7.03835e-68     2.37181e-100          5.23648e-79           1.12629e-69           3.07184e-67           2.80234               0               
45     1.35466e-49     2.18666e-64           1.75627e-52           5.93198e-49           2.44639e-53           1.03939               0               
46     3.6074e-15      5.88273e-15           9.91339e-15           5.84694e-18           9.47477e-29           0.309122              0               
47     1.92132e-86     7.38256e-143          2.74809e-112          8.45643e-97           8.41622e-86           2.80881               0               
48     0.079066        0.079066              0.079066              0.079066              0.079066              1                     0.079066        
